//ODV Spreadsheet file : /media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE_odv.txt
//Data treated : 2025-01-14T11:21:11
//<InstrumentType>Chemical bottle analysis</InstrumentType>
//<Source>/media/irdcampagnes/PIRATA/PIRATA-FR33/data-final/CHIMIE/PIRATA-FR33_CHIMIE.xlsx</Sources>
//<DataType>Bottles</DataType>
//<Creator>Pierre.Rousselot@ird.fr</Creator>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	DEPTH [m]	Bottle nb	PSAL [Psu]	DOX1 [ml/l]	DOX2 [micromole/kg]	NTIW [micromole/kg]	NTAW+NTIW [micromole/kg]	NTAW [micromole/kg]	PHOW [micromole/kg]	SLCW [micromole/kg]	CHC3 [microgramme/l]	CHCZ [microgramme/l]	PERP [microgramme/l]	BFUP [microgramme/l]	FUCP [microgramme/l]	NEXW [microgramme/l]	PXAP [microgramme/l]	VIOW [microgramme/l]	HFUP [microgramme/l]	ATXA [microgramme/l]	DXAP [microgramme/l]	AXAP [microgramme/l]	TXAP [microgramme/l]	ZXAP [microgramme/l]	LUTW [microgramme/l]	CHBD [microgramme/l]	CH2P [microgramme/l]	CHLB [microgramme/l]	AACP [microgramme/l]	BBCP [microgramme/l]	PHEP [microgramme/l]	CHAD [microgramme/l]	CH1P [microgramme/l]	CPHL [microgramme/l]	PHEA [microgramme/l]	CXAP [microgramme/l]	TEMP [°C]	PHPH [pH unit]	PHTP [°C]	ALKY [micromole/kg]
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		1488.0	 2	34.9607	5.186	225.48	 0.02	 22.039	22.021	  1.39	17.95																											4.3040	7.6970	25.0000		
PIRATA-FR33	st008c01	B	2023-03-11T19:36:09z	  -9.905	 +0.058		1979.0	 1	34.9624	5.657	245.93	 0.01	 20.322	20.307	  1.27	21.26																											3.5270	7.7260	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		   3.0	14																																			27.6560				
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		   3.0	13	35.9617	4.474	195.31	 0.01	  0.021	0.016	  0.06	 0.86																											27.6540	8.0290	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  21.0	12	36.0499	4.466	194.88	 0.01	  0.015	0.008	  0.05	 0.94																											27.2330	8.0350	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  40.0	11																																			23.6720				
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  40.0	10	36.4322	4.102	178.79	 0.18	  2.088	1.907	  0.20	 1.71																											23.6890	7.9690	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  60.0	 9	36.2742	3.833	167.03	 0.33	  5.600	5.269	  0.45	 2.19																											21.3460	7.9090	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  79.0	 8	35.9985	3.784	164.82	 0.21	  8.654	8.445	  0.64	 3.02																											18.4190				
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		  99.0	 7	35.7896	3.741	162.90	 0.09	 11.168	11.076	  0.77	 3.82																											16.7700	7.8290	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		 306.0	 6	34.9737	1.684	 73.31	 0.01	 31.658	31.644	  1.87	12.84																											10.3690	7.5280	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		 498.0	 5	34.6364	2.739	119.18	 0.01	 33.220	33.205	  2.06	18.94																											7.2550	7.5420	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		 498.0	 4	34.6345	2.761	120.16	 0.01	 33.153	33.139	  2.07	18.96																											7.2560	7.5390	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		 754.0	 3	34.5074	3.315	144.20	 0.01	 34.564	34.551	  2.22	26.91																											5.3600	7.5500	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		1499.0	 2	34.9572	5.140	223.49	 0.01	 22.227	22.218	  1.41	18.14																											4.3260	7.6970	25.0000		
PIRATA-FR33	st009c01	B	2023-03-12T06:17:20z	 -10.000	 -0.500		1980.0	 1	34.9637	5.656	251.85	 0.00	 20.342	20.338	  1.27	20.97																											3.5620	7.7240	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		   1.0	13	35.8683								0.0027	0.0069	0.0050	0.0043	0.0059				0.0155		0.0108		0.0036	0.0830					0.0129			0.0607	0.0589	0.1196			28.1040				
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		   1.0	12		4.498	196.48	 0.01	  0.006	-0.002	  0.03	 0.85																											28.1020	8.0280	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		  20.0	11	35.9857	4.475	195.31	 0.00	  0.018	0.014	  0.04	 0.92	0.0065	0.0202	0.0153	0.0128	0.0105			0.0035	0.0473	0.0057	0.0190	0.0039	0.0028	0.1062		0.0085	0.0163	0.0249	0.0227			0.0966	0.1444	0.2411	0.0063		27.1650	8.0130	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		  40.0	10	36.3171	4.343	189.33	 0.01	  0.049	0.037	  0.15	 1.37	0.0800	0.0832	0.0209	0.0815	0.0385	0.0046	0.0044	0.0049	0.2379		0.0320	0.0048	0.0024	0.1415		0.0291	0.0981	0.1272	0.0523			0.2021	0.4467	0.6488	0.0071		24.2920	7.9830	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		  50.0	 9	36.2249	3.937	171.54	 0.12	  2.549	2.430	  0.34	 1.92	0.0971	0.0902	0.0167	0.1229	0.0411	0.0226	0.0051	0.0070	0.2160		0.0181	0.0080	0.0009	0.1172	0.0042	0.1195	0.1576	0.2771	0.0691			0.2428	0.4554	0.6981	0.0116		22.1150	7.9150	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		  79.0	 8	35.7928	3.548	154.64	 0.14	 11.987	11.845	  0.81	 4.12	0.0668	0.0460	0.0047	0.0840	0.0292	0.0031	0.0047	0.0008	0.0969		0.0080	0.0035		0.0300		0.1233	0.0376	0.1609	0.0350			0.0956	0.2497	0.3453	0.0050		16.9440				
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		 100.0	 7	35.5926	3.421	148.91	 0.04	 14.654	14.613	  0.95	 5.13	0.0292	0.0161		0.0396	0.0090	0.0011	0.0008	0.0003	0.0450		0.0032			0.0079		0.0735	0.0039	0.0774	0.0161			0.0383	0.0956	0.1339	0.0028		15.3970	7.7720	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		 299.0	 6	34.9523	1.676	 72.91	 0.01	 31.978	31.963	  1.89	13.28																											10.1910	7.5200	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		 299.0	 5	34.9509	1.678	 72.99	 0.01	 32.019	32.004	  1.92	13.63																											10.1930	7.5180	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		 496.0	 4	34.5994	3.167	137.76	 0.02	 32.011	31.992	  2.02	19.22																											7.0220	7.5600	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		 716.0	 3	34.4916	3.476	151.16	 0.02	 33.817	33.799	  2.18	26.24																											5.4180	7.5560	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		1480.0	 2	34.9472	5.009	217.73	 0.01	 22.949	22.939	  1.46	18.97																											4.3730	7.6860	25.0000		
PIRATA-FR33	st010c01	B	2023-03-12T11:19:12z	  -9.993	 -1.007		1978.0	 1	34.9643	5.667	246.76	 0.01	 20.036	20.024	  1.27	20.29																											3.5870	7.7210	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		   2.0	14																																			28.3700				
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		   3.0	13	35.8083	4.513	197.04	 0.01	  0.017	0.007	  0.01	 0.78																											28.3690	8.0420	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		  20.0	12	35.8292	4.526	197.56	 0.01	  0.018	0.013	  0.01	 0.85																											27.9050	8.0240	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		  40.0	11																																			22.3820				
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		  40.0	10	35.8765	4.371	190.59	 0.07	  1.514	1.448	  0.26	 1.90																											22.4720	7.9420	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		  60.0	 9	35.7787	3.108	135.39	 0.48	 12.817	12.336	  0.86	 4.08																											18.8140	7.8070	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		  80.0	 8	35.5844	2.702	117.66	 0.25	 18.056	17.807	  1.18	 5.74																											15.6230				
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		 100.0	 7	35.4997	2.663	115.93	 0.07	 19.252	19.186	  1.24	 6.44																											14.7170	7.7050	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		 100.0	 6	35.4996	2.661	115.85	 0.08	 19.495	19.419	  1.26	 6.43																											14.7120	7.7080	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		 310.0	 5	34.9929	1.681	 73.17	 0.02	 31.164	31.141	  1.89	12.66																											10.5410	7.5310	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		 500.0	 4	34.6317	2.938	127.83	 0.01	 32.119	32.109	  2.04	18.66																											7.3320	7.5570	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		 694.0	 3	34.5008	3.377	146.91	 0.01	 33.552	33.543	  2.20	25.46																											5.5850	7.5570	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		1499.0	 2	34.9528	5.048	219.50	 0.01	 22.450	22.445	  1.46	18.49																											4.4170	7.6950	25.0000		
PIRATA-FR33	st011c01	B	2023-03-12T16:05:53z	 -10.000	 -1.500		1980.0	 1	34.9638	5.697	247.70	 0.01	 19.864	19.854	  1.30	19.65																											3.5980	7.7220	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		   2.0	22																																			28.3150				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		   2.0	21																																			28.3140				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		   2.0	20	35.6937			 0.01	  0.016	0.008	  0.02	 0.83	0.0071	0.0089	0.0073	0.0034	0.0062			0.0012	0.0171	0.0027	0.0066		0.0016	0.0779		0.0056	0.0056	0.0112	0.0138			0.0565	0.0593	0.1158	0.0017		28.3150	8.0520	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  20.0	19																																			28.2380				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  20.0	18	35.7047			 0.01	  0.016	0.005	  0.03	 0.84	0.0030	0.0044	0.0067	0.0039	0.0066			0.0009	0.0194	0.0032	0.0068			0.0769		0.0047	0.0051	0.0098	0.0142			0.0589	0.0664	0.1253	0.0019		28.2470	8.0460	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  30.0	17																																			23.3080				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  40.0	16		4.517	197.34																																20.2920				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  40.0	15		4.534	198.05																																20.3640				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  40.0	14	35.8911	3.819	166.37	 0.11	  6.719	6.606	  0.56	 3.15	0.0875	0.0645	0.0276	0.0825	0.0408	0.0235	0.0078	0.0095	0.2244		0.0168	0.0089		0.1491		0.0635	0.1850	0.2485	0.0563			0.1843	0.5175	0.7018	0.0174		20.4320	7.8800	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  51.0	13																																			18.0060				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  60.0	12																																			16.5210				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  60.0	11	35.6296	2.571	111.93	 0.46	 18.221	17.759	  1.16	 5.47	0.0575	0.0280	0.0072	0.0632	0.0286	0.0161	0.0154		0.0947	0.0073	0.0078	0.0033		0.0484		0.1191	0.1117	0.2308	0.0419			0.1162	0.2839	0.4001	0.0138		16.5220	7.7230	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  80.0	10																																			15.0940				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  80.0	 9																																			15.0950				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		  80.0	 8	35.5334	2.396	104.29	 0.10	 20.419	20.316	  1.30	 6.46	0.0435	0.0303	0.0051	0.0514	0.0225	0.0046	0.0040	0.0008	0.0563	0.0018	0.0056	0.0034		0.0188		0.0974	0.0325	0.1298		0.0283		0.0627	0.1759	0.2386	0.0043		15.0880				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 100.0	 7																																			14.8650				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 100.0	 6	35.5161	2.340	101.85	 0.07	 20.955	20.886	  1.35	 6.66	0.0350	0.0212	0.0034	0.0402	0.0171	0.0030	0.0021		0.0483	0.0072	0.0042	0.0025	0.0003	0.0093		0.0714	0.0176	0.0890	0.0185			0.0414	0.1251	0.1666	0.0036		14.8670	7.6810	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 120.0	 5																																			14.6500				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 149.0	 4																																			14.2620				
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 301.0	 3	35.1309	1.790	 77.88	 0.02	 28.496	28.476	  1.76	10.88																											11.7690	7.5650	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		 499.0	 2	34.6102	3.161	137.52	 0.03	 31.466	31.441	  2.04	18.66																											7.2050	7.5730	25.0000		
PIRATA-FR33	st012c01	B	2023-03-12T20:58:55z	  -9.998	 -2.003		1977.0	 1	34.9585	5.713	248.34	 0.02	 20.098	20.076	  1.31	21.33																											3.4510	7.7280	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		   1.0	14																																			28.2550				
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		   1.0	13	35.6854	4.518	197.25																																28.2510	8.0440	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  20.0	12	35.6788	4.518	197.22																																28.1830	8.0540	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  40.0	11																																			19.0580				
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  40.0	10	35.7691	3.302	143.81																																18.8760	7.8130	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  51.0	 9	35.7064	2.872	125.07																																17.4980	7.7680	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  80.0	 8	35.5819	2.544	110.76																																15.6160	7.7090	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		  80.0	 7	35.5831	2.557	111.30																																15.6260	7.7120	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		 100.0	 6	35.5241	2.730	118.80																																14.8900	7.7170	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		 358.0	 5	34.9821	1.598	 69.53																																10.5130	7.5230	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		 498.0	 4	34.6915	1.864	 81.07																																7.7820	7.4820	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		 695.0	 3	34.4876	3.291	143.13																																5.1820	7.5440	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		1487.0	 2	34.9575	5.155	224.06																																4.3210	7.6990	25.0000		
PIRATA-FR33	st013c01	B	2023-03-13T01:28:15z	 -10.000	 -2.501		1978.0	 1	34.9533	5.582	242.59																																3.4970	7.7210	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		   3.0	13	35.6266			 0.01	  0.029	0.024	  0.03	 0.77																											28.3280				
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		   2.0	12		5.489	239.67																																28.3250	8.0430	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		  20.0	11	35.6290	4.497	196.34	 0.00	  0.024	0.023	  0.02	 0.83																											28.3310	8.0340	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		  40.0	10	35.9761	4.275	186.30	 0.06	  1.560	1.502	  0.33	 2.24																											21.6640	7.9330	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		  60.0	 9	35.6090	2.337	101.76	 0.29	 19.568	19.273	  1.25	 5.70																											16.0750	7.7000	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		  60.0	 8	35.6067	2.336	101.71	 0.29	 19.644	19.355	  1.27	 5.69																											16.0680	7.7000	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		  80.0	 7	35.5076	2.317	100.85	 0.05	 21.088	21.038	  1.34	 6.59																											14.8340				
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		 100.0	 6	35.4559	2.256	 98.19	 0.03	 21.974	21.946	  1.39	 7.11																											14.3590	7.6650	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		 381.0	 5	34.8739	1.695	 73.12	 0.01	 33.151	33.139	  2.05	14.33																											9.6170	7.5070	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		 500.0	 4	34.6277	2.403	104.54	 0.01	 35.009	35.002	  2.24	19.95																											7.1740	7.5110	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		 800.0	 3	34.4970	3.519	153.04	 0.01	 34.422	34.416	  2.32	30.36																											4.8020	7.5550	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		1500.0	 2	34.9593	5.246	228.05	 0.01	 21.722	21.715	  1.44	18.74																											4.1560	7.7010	25.0000		
PIRATA-FR33	st014c01	B	2023-03-13T06:05:59z	 -10.004	 -3.001		1982.0	 1	34.9557	5.647	245.47	 0.01	 20.258	20.250	  1.33	21.79																											3.5170	7.7200	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		   1.0	14																																			28.3880				
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		   1.0	13	35.5859	4.512	197.02																																28.3870	8.0410	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  20.0	12	35.5852	4.514	197.09																																28.3270	8.0350	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  50.0	11																																			18.1980				
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  50.0	10	35.8190	2.931	127.64																																18.1860	7.7870	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  50.0	 9	35.8006	2.889	125.81																																18.1140	7.7820	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  60.0	 8	35.6243	2.357	102.62																																15.9420	7.6990	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		  80.0	 7	35.5125	2.145	 93.35																																14.8050				
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 100.0	 6	35.4510	2.075	 90.30																																14.3010	7.6460	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 298.0	 5	35.1223	2.005	 87.24																																11.7810	7.5640	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 398.0	 4	34.9064	1.514	 65.84																																9.9190	7.4970	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 497.0	 3	34.6581	2.357	102.51																																7.5240	7.5100	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 794.0	 2	34.4906	3.399	147.81																																4.9900	7.5460	25.0000		
PIRATA-FR33	st015c01	B	2023-03-13T10:48:11z	  -9.999	 -3.505		 993.0	 1	34.5656	3.540	153.91																																4.4220	7.5600	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		   1.0	13																																			28.5170				
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		   1.0	12																																			28.5150				
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		  20.0	11	35.5995	4.523	197.52	 0.00	  0.027	0.026	  0.05	 0.91	0.0084	0.0092	0.0096	0.0050	0.0063			0.0007	0.0224	0.0059	0.0074		0.0024	0.1082		0.0051	0.0069	0.0120	0.0179			0.0634	0.0797	0.1431	0.0016		28.3270	8.0290	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		  40.0	10	35.8145	4.417	192.52	 0.04	  1.274	1.232	  0.39	 2.42																											20.8590	7.9160	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		  40.0	 9	35.8189	4.487	195.55	 0.04	  0.948	0.912	  0.39	 2.34	0.1002	0.1081	0.0290	0.1239	0.0500	0.0201	0.0181	0.0094	0.2867	0.0050	0.0265	0.0063	0.0038	0.0563	0.0053	0.0077	0.1241	0.1318		0.0295		0.0463	0.6453	0.6917	0.0070		20.9330	7.9280	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		  50.0	 8	35.8079	3.378	147.15	 0.19	 10.070	9.881	  0.79	 3.55	0.0792	0.0669	0.0137	0.1056	0.0430	0.0241	0.0148	0.0068	0.1603	0.0058	0.0151	0.0027	0.0022	0.0468	0.0037	0.0367	0.1534	0.1900	0.0303			0.0744	0.4444	0.5188	0.0084		18.8470	7.8310	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		  80.0	 7	35.5071	2.109	 91.80	 0.05	 22.032	21.979	  1.41	 6.75	0.0409	0.0227	0.0090	0.0490	0.0266	0.0030	0.0054	0.0011	0.0577	0.0046	0.0050	0.0025		0.0205		0.1132	0.0285	0.1417	0.0300			0.0663	0.1590	0.2252	0.0039		14.7850				
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 101.0	 6	35.4410	2.063	 89.78	 0.02	 23.012	22.991	  1.47	 7.45	0.0180	0.0096	0.0024	0.0220	0.0093		0.0017		0.0302		0.0033	0.0020		0.0055		0.0473	0.0115	0.0588	0.0131			0.0253	0.0705	0.0958	0.0020		14.2310	7.6450	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 300.0	 5	35.1543	2.010	 87.49	 0.01	 26.641	26.631	  1.68	10.04																											12.0220	7.5890	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 399.0	 4	34.9573	1.925	 83.76	 0.01	 30.407	30.393	  1.90	12.69																											10.3760	7.5400	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 497.0	 3	34.7502	1.752	 76.22	 0.01	 35.326	35.315	  2.21	17.34																											8.4480	7.4850	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 794.0	 2	34.4939	3.151	137.03	 0.01	 35.448	35.440	  2.35	28.16																											5.2230	7.5320	25.0000		
PIRATA-FR33	st016c01	B	2023-03-13T14:40:33z	  -9.999	 -4.000		 992.0	 1	34.5750	3.546	154.20	 0.01	 33.879	33.871	  2.28	32.44																											4.4040	7.5630	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		   2.0	14																																			28.2550				
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		   2.0	13	35.6383	4.549	198.64																																28.2610	8.0410	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  20.0	12	35.6217	4.558	198.99																																28.1050	8.0120	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  20.0	11	35.6341	4.565	199.32																																28.1040	8.0500	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  40.0	10	36.2707	4.866	212.20																																24.8630	8.0270	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  60.0	 9																																			20.1020				
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  60.0	 8	35.9767	3.472	151.27																																20.0610	7.8580	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		  80.0	 7	35.5922	2.211	 96.25																																15.6190				
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		 100.0	 6	35.4689	1.995	 86.85																																14.4570	7.6410	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		 301.0	 5	35.1030	2.013	 87.61																																11.5960	7.5810	25.0000		
PIRATA-FR33	st017c01	B	2023-03-13T18:48:17z	 -10.002	 -4.498		 428.0	 4	34.8281	1.775	 77.21																																9.1920	7.5060	25.0000		
